ano,mes,semana,sigla_uf,Sexo_Biologico,qtd_populacional,qtd_populacao_internada,qtd_populacao_sedada_respiracaoartificial,qtd_populacao_fez_teste_covid,qtd_populacao_pegou_covid
2020,5,2,AP,Homem,253,0,0,0,0
2020,5,2,AP,Mulher,252,0,0,0,0
2020,5,3,AP,Homem,387,2,0,0,0
2020,5,4,AP,Mulher,405,0,0,0,0
2020,5,1,AP,Mulher,237,0,0,0,0
2020,6,2,AP,Homem,368,0,0,0,0
2020,6,4,AP,Homem,400,0,0,0,0
2020,6,3,AP,Mulher,455,1,1,0,0
2020,7,1,AP,Homem,395,0,0,48,4
2020,7,2,AP,Mulher,380,0,0,52,7
2020,7,4,AP,Homem,381,0,0,30,3
2020,7,4,AP,Mulher,409,0,0,42,4
2020,7,3,AP,Homem,354,0,0,34,6
2020,7,3,AP,Mulher,395,0,0,38,5
2020,8,1,AP,Homem,322,0,0,35,3
2020,8,1,AP,Mulher,335,0,0,45,6
2020,8,2,AP,Homem,336,0,0,42,5
2020,8,4,AP,Homem,368,0,0,32,3
2020,8,3,AP,Homem,352,0,0,36,1
2020,9,1,AP,Homem,303,0,0,40,3
2020,9,1,AP,Mulher,336,0,0,57,10
2020,10,2,AP,Homem,370,0,0,53,4
2020,11,2,AP,Homem,310,0,0,44,4
2020,11,3,AP,Mulher,370,0,0,92,11
2020,11,1,AP,Homem,185,0,0,36,1
2020,11,1,AP,Mulher,195,1,0,38,3
2020,5,3,RR,Homem,585,0,0,0,0
2020,5,3,RR,Mulher,565,0,0,0,0
2020,5,2,RR,Homem,567,1,1,0,0
2020,5,2,RR,Mulher,553,0,0,0,0
2020,5,4,RR,Homem,517,2,0,0,0
2020,5,1,RR,Homem,416,0,0,0,0
2020,5,1,RR,Mulher,442,0,0,0,0
2020,6,3,RR,Homem,615,3,0,0,0
2020,6,2,RR,Homem,690,0,0,0,0
2020,6,4,RR,Homem,594,1,0,0,0
2020,6,1,RR,Mulher,622,0,0,0,0
2020,7,3,RR,Homem,681,1,0,53,9
2020,7,4,RR,Homem,630,0,0,54,3
2020,7,2,RR,Mulher,699,0,0,77,10
2020,8,4,RR,Mulher,693,0,0,82,9
2020,8,2,RR,Homem,715,0,0,83,8
2020,8,2,RR,Mulher,707,1,0,97,9
2020,8,1,RR,Homem,612,1,1,65,10
2020,8,1,RR,Mulher,656,0,0,73,6
2020,9,3,RR,Mulher,684,1,0,101,4
2020,9,2,RR,Mulher,698,0,0,126,14
2020,9,4,RR,Homem,667,0,0,77,8
2020,9,4,RR,Mulher,724,1,0,115,8
2020,9,1,RR,Homem,637,0,0,89,12
2020,9,1,RR,Mulher,674,0,0,98,6
2020,10,3,RR,Mulher,681,0,0,122,6
2020,10,2,RR,Homem,710,0,0,112,13
2020,10,4,RR,Homem,690,0,0,94,8
2020,10,4,RR,Mulher,747,0,0,123,7
2020,10,2,RR,Mulher,710,0,0,130,13
2020,11,2,RR,Homem,716,0,0,112,15
2020,11,2,RR,Mulher,700,1,0,126,11
2020,11,1,RR,Homem,680,0,0,103,9
2020,11,1,RR,Mulher,720,0,0,122,10
2020,5,3,DF,Mulher,834,0,0,0,0
2020,5,1,DF,Mulher,835,1,0,0,0
2020,5,2,DF,Homem,774,0,0,0,0
2020,5,2,DF,Mulher,842,1,0,0,0
2020,6,3,DF,Homem,744,1,1,0,0
2020,6,3,DF,Mulher,866,0,0,0,0
2020,6,4,DF,Homem,821,3,3,0,0
2020,6,1,DF,Homem,739,1,0,0,0
2020,6,1,DF,Mulher,847,1,1,0,0
2020,7,4,DF,Homem,822,0,0,144,16
2020,7,2,DF,Mulher,871,2,0,146,20
2020,7,1,DF,Homem,774,0,0,129,8
2020,8,2,DF,Mulher,863,0,0,178,26
2020,8,1,DF,Homem,747,1,1,151,16
2020,8,1,DF,Mulher,855,1,0,175,16
2020,9,3,DF,Homem,726,0,0,150,20
2020,9,4,DF,Mulher,885,1,1,202,24
2020,9,2,DF,Homem,757,0,0,129,21
2020,9,2,DF,Mulher,836,0,0,194,30
2020,9,1,DF,Homem,725,0,0,176,24
2020,10,4,DF,Homem,834,0,0,184,34
2020,10,2,DF,Homem,784,2,1,159,27
2020,11,2,DF,Homem,813,0,0,186,33
2020,11,2,DF,Mulher,916,0,0,247,45
2020,11,3,DF,Mulher,862,0,0,225,32
2020,11,4,DF,Mulher,932,0,0,216,34
2020,11,1,DF,Mulher,904,3,0,239,31
2020,5,1,RO,Homem,595,0,0,0,0
2020,5,1,RO,Mulher,601,1,0,0,0
2020,5,2,RO,Homem,609,0,0,0,0
2020,5,2,RO,Mulher,614,0,0,0,0
2020,5,3,RO,Homem,660,1,0,0,0
2020,5,4,RO,Mulher,684,1,0,0,0
2020,6,1,RO,Homem,628,1,0,0,0
2020,6,2,RO,Mulher,686,1,0,0,0
2020,6,3,RO,Homem,701,1,0,0,0
2020,7,1,RO,Homem,670,0,0,47,5
2020,7,1,RO,Mulher,679,2,2,50,5
2020,7,3,RO,Mulher,704,0,0,39,5
2020,7,4,RO,Mulher,640,0,0,47,8
2020,8,1,RO,Homem,641,1,0,40,4
2020,8,2,RO,Homem,638,1,0,46,10
2020,8,4,RO,Mulher,630,0,0,62,13
2020,9,1,RO,Mulher,635,1,0,62,12
2020,9,2,RO,Mulher,655,0,0,53,11
2020,9,4,RO,Homem,590,0,0,51,9
2020,10,2,RO,Homem,685,0,0,73,19
2020,10,4,RO,Homem,667,0,0,75,13
2020,10,4,RO,Mulher,730,0,0,93,16
2020,11,1,RO,Homem,754,0,0,103,14
2020,11,2,RO,Homem,757,1,0,78,21
2020,11,3,RO,Homem,730,0,0,91,23
2020,11,4,RO,Mulher,756,2,0,116,21
2020,5,2,TO,Homem,658,0,0,0,0
2020,6,4,TO,Homem,666,1,0,0,0
2020,6,1,TO,Mulher,636,0,0,0,0
2020,6,2,TO,Homem,709,1,0,0,0
2020,6,4,TO,Mulher,673,0,0,0,0
2020,6,3,TO,Homem,599,1,0,0,0
2020,6,3,TO,Mulher,616,2,0,0,0
2020,7,3,TO,Homem,615,0,0,24,1
2020,7,3,TO,Mulher,626,0,0,35,4
2020,7,1,TO,Homem,655,0,0,24,3
2020,7,1,TO,Mulher,617,0,0,26,3
2020,7,2,TO,Homem,706,0,0,40,3
2020,7,2,TO,Mulher,744,0,0,44,2
2020,8,3,TO,Mulher,641,1,0,71,14
2020,8,1,TO,Homem,694,0,0,58,10
2020,8,1,TO,Mulher,645,0,0,58,14
2020,8,3,TO,Homem,622,1,0,59,4
2020,8,2,TO,Homem,693,1,0,56,6
2020,8,4,TO,Mulher,657,1,0,72,11
2020,9,4,TO,Homem,675,0,0,85,9
2020,9,1,TO,Homem,653,1,0,66,11
2020,9,1,TO,Mulher,626,0,0,71,13
2020,9,3,TO,Homem,612,0,0,70,14
2020,9,2,TO,Mulher,683,2,1,86,11
2020,9,4,TO,Mulher,646,0,0,91,14
2020,10,1,TO,Mulher,645,0,0,87,20
2020,11,3,TO,Mulher,622,0,0,81,10
2020,11,3,TO,Homem,621,0,0,77,15
2020,11,2,TO,Homem,646,0,0,79,12
2020,11,4,TO,Mulher,620,2,1,86,16
2020,5,3,RN,Homem,946,1,0,0,0
2020,5,2,RN,Mulher,950,0,0,0,0
2020,5,1,RN,Homem,811,0,0,0,0
2020,5,1,RN,Mulher,879,0,0,0,0
2020,5,4,RN,Homem,1022,0,0,0,0
2020,6,3,RN,Homem,1003,0,0,0,0
2020,6,2,RN,Mulher,1023,0,0,0,0
2020,6,1,RN,Mulher,1033,1,0,0,0
2020,7,2,RN,Mulher,1064,2,1,80,16
2020,7,1,RN,Mulher,1105,0,0,70,8
2020,8,3,RN,Mulher,1109,0,0,108,14
2020,8,3,RN,Homem,1028,1,0,87,10
2020,8,1,RN,Homem,981,1,0,76,3
2020,9,2,RN,Homem,901,2,0,97,13
2020,9,2,RN,Mulher,1020,0,0,112,22
2020,9,1,RN,Homem,918,0,0,96,6
2020,9,1,RN,Mulher,1030,1,0,100,10
2020,10,2,RN,Mulher,973,0,0,123,25
2020,10,4,RN,Homem,961,0,0,121,19
2020,10,4,RN,Mulher,1049,0,0,124,9
2020,10,1,RN,Mulher,1012,0,0,117,11
2020,11,3,RN,Mulher,1022,0,0,131,22
2020,11,3,RN,Homem,925,0,0,104,18
2020,11,2,RN,Homem,861,0,0,113,21
2020,11,2,RN,Mulher,992,0,0,133,25
2020,11,1,RN,Homem,911,0,0,120,12
2020,5,2,AC,Mulher,765,0,0,0,0
2020,5,4,AC,Homem,755,3,0,0,0
2020,5,4,AC,Mulher,791,0,0,0,0
2020,6,2,AC,Homem,794,0,0,0,0
2020,6,1,AC,Mulher,775,0,0,0,0
2020,6,4,AC,Homem,816,0,0,0,0
2020,6,4,AC,Mulher,857,0,0,0,0
2020,6,3,AC,Homem,846,0,0,0,0
2020,7,2,AC,Mulher,822,0,0,63,13
2020,7,1,AC,Mulher,809,0,0,46,15
2020,7,4,AC,Mulher,838,1,0,50,12
2020,7,3,AC,Mulher,937,0,0,60,7
2020,8,2,AC,Homem,753,3,1,50,9
2020,8,2,AC,Mulher,817,0,0,68,7
2020,8,1,AC,Mulher,830,0,0,56,9
2020,8,4,AC,Homem,785,1,1,52,11
2020,8,3,AC,Mulher,898,0,0,77,10
2020,9,1,AC,Homem,783,0,0,51,6
2020,9,1,AC,Mulher,785,0,0,50,12
2020,9,4,AC,Homem,781,0,0,56,12
2020,9,4,AC,Mulher,840,0,0,71,13
2020,9,3,AC,Homem,766,1,0,62,6
2020,10,2,AC,Homem,751,0,0,68,16
2020,10,2,AC,Mulher,812,2,1,79,15
2020,10,1,AC,Homem,767,0,0,59,7
2020,10,1,AC,Mulher,766,0,0,72,14
2020,10,4,AC,Mulher,808,0,0,74,13
2020,10,3,AC,Mulher,864,0,0,92,14
2020,10,3,AC,Homem,790,1,1,72,8
2020,11,2,AC,Homem,751,0,0,75,15
2020,11,4,AC,Homem,704,0,0,55,11
2020,11,3,AC,Mulher,813,0,0,92,15
2020,5,3,PI,Mulher,1051,0,0,0,0
2020,5,4,PI,Homem,943,0,0,0,0
2020,5,4,PI,Mulher,1025,1,1,0,0
2020,5,1,PI,Mulher,863,0,0,0,0
2020,6,2,PI,Homem,986,0,0,0,0
2020,6,4,PI,Homem,1037,0,0,0,0
2020,6,4,PI,Mulher,1121,2,1,0,0
2020,7,4,PI,Homem,1032,1,1,123,4
2020,7,2,PI,Homem,997,0,0,99,4
2020,7,2,PI,Mulher,1067,0,0,127,5
2020,7,1,PI,Mulher,1098,0,0,127,6
2020,8,4,PI,Homem,1025,0,0,159,10
2020,8,3,PI,Mulher,1158,0,0,187,12
2020,8,1,PI,Mulher,1079,0,0,147,8
2020,9,2,PI,Homem,1001,1,0,177,9
2020,9,1,PI,Mulher,1027,0,0,151,11
2020,10,4,PI,Mulher,1086,0,0,218,17
2020,10,3,PI,Mulher,1113,1,0,246,22
2020,11,2,PI,Mulher,1095,1,1,242,17
2020,11,4,PI,Mulher,1142,0,0,244,20
2020,11,1,PI,Homem,946,0,0,193,13
2020,5,2,SE,Mulher,1041,0,0,0,0
2020,5,1,SE,Homem,973,0,0,0,0
2020,5,1,SE,Mulher,1051,0,0,0,0
2020,5,4,SE,Mulher,1151,0,0,0,0
2020,5,3,SE,Mulher,1082,0,0,0,0
2020,6,2,SE,Homem,971,1,1,0,0
2020,6,2,SE,Mulher,1065,0,0,0,0
2020,6,3,SE,Homem,978,0,0,0,0
2020,6,3,SE,Mulher,1083,0,0,0,0
2020,6,1,SE,Mulher,1157,0,0,0,0
2020,6,4,SE,Mulher,1170,0,0,0,0
2020,7,2,SE,Homem,960,0,0,58,10
2020,7,2,SE,Mulher,1043,0,0,56,6
2020,7,3,SE,Homem,953,1,0,54,4
2020,7,1,SE,Homem,988,1,1,33,5
2020,7,1,SE,Mulher,1078,1,1,54,4
2020,8,4,SE,Homem,996,0,0,95,14
2020,8,2,SE,Mulher,1079,0,0,88,16
2020,8,3,SE,Homem,969,0,0,90,12
2020,8,1,SE,Mulher,1094,1,0,89,11
2020,9,4,SE,Homem,999,0,0,111,12
2020,9,2,SE,Homem,971,0,0,114,17
2020,9,2,SE,Mulher,1076,0,0,120,20
2020,9,1,SE,Mulher,1107,0,0,117,15
2020,10,4,SE,Homem,946,0,0,129,12
2020,10,2,SE,Mulher,1044,0,0,119,19
2020,10,3,SE,Homem,905,0,0,128,19
2020,10,1,SE,Homem,979,0,0,107,13
2020,10,1,SE,Mulher,1102,1,0,139,13
2020,11,4,SE,Mulher,1054,1,0,151,25
2020,11,2,SE,Homem,948,0,0,126,21
2020,11,2,SE,Mulher,1042,0,0,137,27
2020,11,3,SE,Mulher,1021,1,0,153,12
2020,5,3,PB,Mulher,1219,0,0,0,0
2020,5,2,PB,Mulher,1080,0,0,0,0
2020,5,3,PB,Homem,1129,0,0,0,0
2020,6,1,PB,Homem,1116,1,1,0,0
2020,6,1,PB,Mulher,1251,1,1,0,0
2020,6,3,PB,Homem,1229,1,0,0,0
2020,7,2,PB,Homem,1103,0,0,72,2
2020,7,2,PB,Mulher,1259,0,0,92,4
2020,7,3,PB,Homem,1203,1,0,82,4
2020,8,1,PB,Homem,1142,0,0,74,5
2020,8,1,PB,Mulher,1277,1,1,113,1
2020,8,2,PB,Homem,1111,1,0,93,6
2020,8,2,PB,Mulher,1261,1,0,131,3
2020,8,3,PB,Mulher,1346,1,0,115,6
2020,9,4,PB,Mulher,1362,1,0,170,4
2020,9,2,PB,Homem,1156,0,0,109,7
2020,9,2,PB,Mulher,1310,1,0,156,3
2020,9,3,PB,Mulher,1341,0,0,155,11
2020,10,4,PB,Homem,1134,0,0,115,8
2020,10,3,PB,Mulher,1305,0,0,177,12
2020,11,1,PB,Mulher,1295,1,0,196,11
2020,11,4,PB,Mulher,1322,0,0,208,8
2020,11,2,PB,Homem,1104,0,0,121,8
2020,5,1,MS,Mulher,1003,0,0,0,0
2020,5,3,MS,Homem,952,0,0,0,0
2020,5,4,MS,Homem,1044,0,0,0,0
2020,5,4,MS,Mulher,1043,0,0,0,0
2020,6,4,MS,Homem,1100,1,0,0,0
